name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
willow,evermore,Taylor Swift,2020-12-10,214706,81,0.392,0.835,0.392,0.579,0.00179,0.145,-9.195,0.164,80.961,4
champagne problems,evermore,Taylor Swift,2020-12-10,244000,70,0.463,0.92,0.463,0.248,0,0.113,-12.036,0.0374,171.346,4
gold rush,evermore,Taylor Swift,2020-12-10,185320,68,0.498,0.811,0.498,0.471,0.113,0.121,-10.406,0.0411,112.018,4
â€˜tis the damn season,evermore,Taylor Swift,2020-12-10,229840,72,0.575,0.737,0.575,0.435,5.38e-05,0.105,-8.193,0.0311,145.91,4
tolerate it,evermore,Taylor Swift,2020-12-10,245440,67,0.373,0.878,0.373,0.36,1.54e-05,0.079,-10.376,0.0387,147.442,5
"no body, no crime (feat. HAIM)",evermore,Taylor Swift,2020-12-10,215626,73,0.547,0.431,0.547,0.613,0,0.102,-7.577,0.0264,79.011,4
happiness,evermore,Taylor Swift,2020-12-10,315146,66,0.558,0.861,0.558,0.331,0,0.113,-10.649,0.0381,122.035,4
dorothea,evermore,Taylor Swift,2020-12-10,225880,66,0.607,0.694,0.607,0.488,0,0.129,-8.329,0.0264,119.953,4
coney island (feat. The National),evermore,Taylor Swift,2020-12-10,275320,67,0.529,0.826,0.529,0.536,0.00082,0.141,-11.269,0.0627,107.873,4
ivy,evermore,Taylor Swift,2020-12-10,260440,66,0.329,0.848,0.329,0.547,1.11e-05,0.088,-9.514,0.0397,86.629,4
cowboy like me,evermore,Taylor Swift,2020-12-10,275040,65,0.605,0.774,0.605,0.513,0.000177,0.123,-8.962,0.0337,127.986,4
long story short,evermore,Taylor Swift,2020-12-10,215920,67,0.546,0.674,0.546,0.732,0.184,0.0972,-7.715,0.0423,157.893,4
marjorie,evermore,Taylor Swift,2020-12-10,257773,66,0.535,0.878,0.535,0.562,0.000132,0.114,-11.615,0.0479,96.103,4
