name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Bye Bye Bye,No Strings Attached,*NSYNC,2000-03-21,200560,66,0.614,0.0408,0.614,0.928,0.00104,0.0845,-4.806,0.0516,172.656,4
Shape of My Heart,Black & Blue,Backstreet Boys,2000-11-21,230093,71,0.575,0.252,0.575,0.786,0,0.159,-4.353,0.0296,96.102,4
Breathe,Breathe,Faith Hill,1999-11-09,250546,65,0.529,0.173,0.529,0.496,0,0.251,-9.007,0.029,136.859,4
Breathless,In Blue,The Corrs,2000-01-01,207506,67,0.607,0.0541,0.607,0.82,6.80E-05,0.269,-7.754,0.0597,126.988,4
Can't Fight The Moonlight,I Need You,LeAnn Rimes,2001-01-30,215506,64,0.628,0.403,0.628,0.834,0,0.051,-6.341,0.0497,97.865,4
Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears,2000-05-16,211160,77,0.751,0.3,0.751,0.834,1.77E-05,0.355,-5.444,0.0437,95.053,4
That's the Way It Is,The Very Best of Celine Dion,Céline Dion,1999,241373,63,0.634,0.154,0.634,0.886,0,0.118,-5.424,0.0434,93.04,4
My Love,Coast To Coast (Expanded Edition),Westlife,2000,231760,68,0.492,0.098,0.492,0.593,0,0.257,-5.975,0.0255,144.134,4
Say My Name,The Writing's On The Wall,Destiny's Child,1999-07-27,271333,75,0.713,0.273,0.713,0.678,0,0.149,-3.525,0.102,138.009,4
Thong Song,Unleash The Dragon,Sisqo,1999-01-01,253733,65,0.706,0.119,0.706,0.888,9.64E-05,0.07,-6.959,0.0654,121.549,4
Rock DJ,Sing When You're Winning,Robbie Williams,2000-01-01,258560,68,0.708,0.0267,0.708,0.772,0,0.467,-4.264,0.0322,103.035,4
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera (Expanded Edition),Christina Aguilera,1999,203333,62,0.829,0.226,0.829,0.915,1.25E-05,0.246,-3.205,0.106,118.903,4
Reach,"""7""",S Club 7,2000-06-12,243265,57,0.597,0.0123,0.597,0.793,5.45E-06,0.157,-7.006,0.0361,167.2,4
It's Gonna Be Me,No Strings Attached,*NSYNC,2000-03-21,191040,60,0.644,0.0459,0.644,0.874,2.24E-06,0.0584,-4.666,0.0801,165.09,4
Spinning Around,Light Years,Kylie Minogue,2000-09-25,207866,56,0.761,0.292,0.761,0.662,6.19E-05,0.0956,-7.645,0.0548,120.043,4
Lucky,Oops!... I Did It Again,Britney Spears,2000-05-16,206226,65,0.765,0.262,0.765,0.791,0.000154,0.0669,-5.707,0.0317,95.026,4
Life Is A Rollercoaster,Ronan,Ronan Keating,2000-01-01,234826,60,0.655,0.1,0.655,0.791,0.000126,0.334,-8.923,0.0302,118.981,4
Shalala Lala,Shalala Lala,Vengaboys,2000,214819,58,0.751,0.0504,0.751,0.901,0.00308,0.0395,-5.802,0.0328,124.017,4
Dancing in the Moonlight,Onka's Big Moka,Toploader,2000-05-30,232693,51,0.632,0.0568,0.632,0.856,0,0.35,-3.453,0.0358,119.404,4
This I Promise You,No Strings Attached,*NSYNC,2000-03-21,283506,61,0.55,0.367,0.55,0.581,0,0.122,-6.253,0.0325,165.981,4
I'm Outta Love - Radio Edit,Pieces Of A Dream,Anastacia,1999,245400,63,0.761,0.398,0.761,0.716,0,0.0771,-5.8,0.056,119.406,4
Fool Again,Westlife,Westlife,1999-04-25,235066,60,0.532,0.0468,0.532,0.526,0,0.053,-6.812,0.0292,75.996,4
She Bangs - English Version,Sound Loaded,Ricky Martin,2000,280626,57,0.63,0.000915,0.63,0.95,6.51E-06,0.373,-4.012,0.0806,143.866,4
It's My Life,Crush,Bon Jovi,2000-01-01,224493,77,0.551,0.0263,0.551,0.913,1.35E-05,0.347,-4.063,0.0466,119.992,4
What a Girl Wants,Christina Aguilera (Expanded Edition),Christina Aguilera,1999,215800,62,0.754,0.0684,0.754,0.819,0,0.345,-6.833,0.112,142.137,4
Born to Make You Happy,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,243533,59,0.633,0.116,0.633,0.922,0.000465,0.071,-4.842,0.0454,84.11,4
Thank God I Found You (feat. Joe & 98°),Rainbow,Mariah Carey,1999-10-29,257360,58,0.348,0.592,0.348,0.532,0,0.106,-5.882,0.0331,129.297,4
"Independent Women, Pt. 1",Survivor,Destiny's Child,2001-05-01,221133,64,0.73,0.362,0.73,0.602,3.69E-06,0.169,-3.782,0.206,97.954,4
Show Me the Meaning of Being Lonely,Millennium,Backstreet Boys,1999-05-18,234960,66,0.63,0.231,0.63,0.625,0,0.0765,-5.088,0.0252,167.998,4
Yellow,Parachutes,Coldplay,2000-07-10,266773,84,0.429,0.00239,0.429,0.661,0.000121,0.234,-7.227,0.0281,173.372,4
Amazed,Lonely Grill,Lonestar,1999,240866,66,0.561,0.26,0.561,0.543,0,0.124,-8.498,0.0324,139.803,4
American Pie,Music,Madonna,2000-09-19,273533,58,0.631,0.348,0.631,0.734,0,0.135,-7.48,0.036,124.036,4
Be With You,Enrique,Enrique Iglesias,1999-01-01,219360,56,0.683,0.0395,0.683,0.866,0.00161,0.0483,-5.436,0.0329,121.996,4
Against All Odds (Take A Look at Me Now) (feat. Westlife),Greatest Hits,Westlife,2011-11-21,199480,56,0.471,0.584,0.471,0.514,0,0.103,-5.599,0.0315,117.338,4
I Turn to You,Christina Aguilera (Expanded Edition),Christina Aguilera,1999,273706,58,0.599,0.38,0.599,0.47,0,0.111,-8.356,0.0376,127.177,4
Shackles (Praise You),Go Get It,Mary Mary,2000,198346,61,0.779,0.0343,0.779,0.834,0,0.0886,-2.773,0.162,100.46,4
Gotta Tell You,St. Patrick's Day,Various Artists,2018-03-02,201946,46,0.729,0.191,0.729,0.632,0,0.166,-8.75,0.0279,109.981,4
I Need You,I Need You,LeAnn Rimes,2001-01-30,229826,55,0.478,0.02,0.478,0.736,9.58E-05,0.118,-7.124,0.0367,144.705,4
Don't Call Me Baby,Don't Call Me Baby,Madison Avenue,1999-01-01,228140,56,0.808,0.0585,0.808,0.982,0.00689,0.35,-6.588,0.0311,124.999,4
Never Be The Same Again,Northern Star,Melanie C,1999,294200,58,0.689,0.0921,0.689,0.685,0,0.119,-5.153,0.0478,160.067,4
HEY BABY - Radio Mix,HEY BABY (uh ah),DJ Ötzi,2010-04-25,219240,58,0.666,0.123,0.666,0.968,0,0.347,-3.196,0.046,135.099,4
